model_id,vendor,model,eligible_for_ranking,crab_gate,base_score,workspace_score,force_score,precision_score,interface_score,industrial_score,score_note
agibot_g2,智元,AgiBot 精灵G2,是,通过,5,5,5,4,4,4,四舵轮、5自由度躯干、全关节力矩传感；需验证横移后整链路精度
spirit_moz1_pro,千寻智能,Moz1 Pro,是,通过待实测,4.5,5,3,4,4,3,SDK明确开放vx/vy/wz三自由度底盘速度并支持ROS2/Python；公开SDK未开放力矩和末端力控且Pro专属手册与工业证据不足
astribot_t1,星尘,Astribot T1,是,待确认,2,4,4,2,4,4,紧凑轮式底盘但轮系和蟹行能力未公开；绳驱柔性和量产进展较好，精度与SDK量化不足
zdl_d1,智动力,D1 擎骏系列,是,通过待实测,5,5,3,3,3,3,四轮四转明确支持蟹行；整机重且精度和力控证据不足
unitree_g1d_flagship,宇树,Unitree G1-D 旗舰版,是,不通过,1,4,2,3,3,2,差速底盘不能纯横移；更偏数据采集和开发平台
zdl_juno2,智动力,JUNO2-SD 龙骏系列,是,不通过,1,4,2,2,3,2,差速底盘为硬伤；重复定位和力控指标未公开
zdl_juno1,智动力,JUNO1-P 智骏系列,是,不通过,1,3,2,2,3,2,差速底盘为硬伤；负载和升降能力低于JUNO2
zdl_l1,智动力,L1 灵骏系列,是,不通过,1,2,2,2,3,2,差速底盘且负载、臂展和躯干能力较弱
unitree_g1d_standard,宇树,Unitree G1-D 通用版,是,不通过,0,4,2,3,3,2,官方参数未提供主动移动底盘
zdl_z1,智动力,Z1,否,不通过,1,3,1,2,2,2,仅有SDK手册且差速底盘；不纳入排名
tianji_marvin_m6ccs,天机智能,Marvin M6 CCS,否,待集成,0,4,5,5,4,4,双臂模块不含标准底盘；集成全向底盘后再评估
boston_atlas_2026,Boston Dynamics,Atlas,是,待实测,3,5,4,4,2,5,工业可靠性负载和工作空间领先；但双足连续贴线横移、采购与集成开放性待确认
figure_03,Figure AI,Figure 03,是,待实测,3,5,5,4,1,4,触觉手和量产设计突出；无公开SDK且双足横移节拍与精度未披露
tesla_optimus,Tesla,Optimus,是,待确认,3,4,3,3,1,2,官方工程参数和外部集成方式严重不足；暂不具备正式采购比较条件
limx_oli_edu,逐际动力,LimX Oli EDU,是,待实测,3,5,3,3,5,2,开放开发工具链和全尺寸工作空间较好；双足贴线横移、精度和工业认证需验证
limx_tron2_dualarm,逐际动力,TRON 2 双臂形态,是,待确认,3,4,3,3,5,2,接口开放且多形态；四向移动是否包含保持朝向纯横移需要供应商确认
galaxea_r1pro_2026,星海图,Galaxea R1 Pro 2026,是,通过,5,5,4,3,4,3,三舵轮全向和工作空间契合；重复精度0.5mm且机械臂无制动器是主要风险
tars_a1,它石智航,TARS A1,是,待确认,3,4,5,5,1,3,线束任务证据最强；底盘轮型接口参数和规模部署验收数据未公开且内部反馈仍有差距
